symptom_text,ping_gateway,has_ip,ping_ip,ping_domain,ip_conflict,arp_table_ok,subnet_matches_gw,dns_response_time_ms,packet_loss_pct,traceroute_hops,network_type,os_type,diagnosis,severity,solutions,timestamp,dataset_version
routing problem preventing gateway access,0,1,0,0,0,1,1,1950,97,1,Ethernet,Linux,Gateway Unreachable,Medium,Verify gateway IP: route print (Windows) or ip route show (Linux) | Ping gateway: ping <gateway_ip> — confirm it is unreachable | Re-enter correct default gateway in network settings | Check if gateway device is powered on and its port is active | Restart your network adapter | Check routing table for stale or conflicting routes | Reset TCP/IP stack: netsh int ip reset (Windows) | Verify no firewall rule is blocking ICMP to gateway,2024-01-01 13:00:00,3.0
site not found in all browsers,1,1,1,0,0,1,1,68,4,12,Ethernet,Linux,DNS Issue,Low,"Change DNS to Google (8.8.8.8, 8.8.4.4) or Cloudflare (1.1.1.1) | Flush DNS cache — Windows: ipconfig /flushdns | Flush DNS cache — macOS: sudo dscacheutil -flushcache | Test with nslookup google.com to confirm DNS failure | Restart network adapter to clear DNS state | Check router DNS settings in admin panel | Try alternate DNS: Quad9 (9.9.9.9) or OpenDNS (208.67.222.222) | Disable DNS-over-HTTPS temporarily to test",2024-01-01 14:00:00,3.0
google.com does not resolve to any IP,1,1,1,0,0,1,1,308,1,18,Ethernet,Windows,DNS Issue,Low,"Change DNS to Google (8.8.8.8, 8.8.4.4) or Cloudflare (1.1.1.1) | Flush DNS cache — Windows: ipconfig /flushdns | Flush DNS cache — macOS: sudo dscacheutil -flushcache | Test with nslookup google.com to confirm DNS failure | Restart network adapter to clear DNS state | Check router DNS settings in admin panel | Try alternate DNS: Quad9 (9.9.9.9) or OpenDNS (208.67.222.222) | Disable DNS-over-HTTPS temporarily to test",2024-01-01 15:00:00,3.0
device keeps losing connectivity every minute,0,1,0,0,1,0,1,905,62,1,WiFi,Windows,IP Conflict,High,"Identify conflicting device: arp -a | look for duplicate MACs | Release IP: ipconfig /release (Windows) or sudo dhclient -r | Renew IP: ipconfig /renew or sudo dhclient | If using static IP, move it outside DHCP pool range | Set DHCP reservations in router to prevent future conflicts | Check DHCP pool size — expand if needed | Restart router to clear stale DHCP lease table | Reserve MAC-to-IP bindings for all static devices in router",2024-01-01 16:00:00,3.0
wrong gateway ip configured on device,0,1,0,0,0,1,1,2293,93,1,Ethernet,Windows,Gateway Unreachable,Medium,Verify gateway IP: route print (Windows) or ip route show (Linux) | Ping gateway: ping <gateway_ip> — confirm it is unreachable | Re-enter correct default gateway in network settings | Check if gateway device is powered on and its port is active | Restart your network adapter | Check routing table for stale or conflicting routes | Reset TCP/IP stack: netsh int ip reset (Windows) | Verify no firewall rule is blocking ICMP to gateway,2024-01-01 17:00:00,3.0
wrong gateway ip configured on device,0,1,0,0,0,1,1,2356,90,1,WiFi,macOS,Gateway Unreachable,Medium,Verify gateway IP: route print (Windows) or ip route show (Linux) | Ping gateway: ping <gateway_ip> — confirm it is unreachable | Re-enter correct default gateway in network settings | Check if gateway device is powered on and its port is active | Restart your network adapter | Check routing table for stale or conflicting routes | Reset TCP/IP stack: netsh int ip reset (Windows) | Verify no firewall rule is blocking ICMP to gateway,2024-01-01 18:00:00,3.0
ping works but browser hangs on dns step,1,1,1,0,0,1,1,12427,0,11,WiFi,Windows,DNS Timeout,Low,"Test DNS timeout: nslookup -timeout=5 google.com | Switch to a faster DNS server (1.1.1.1 is fastest globally) | Flush DNS cache — Windows: ipconfig /flushdns | Check if UDP port 53 is blocked by local firewall | Ping 1.1.1.1 — if that works but DNS times out, ISP is throttling DNS | Contact ISP — their DNS resolver may be degraded | Enable DNS over HTTPS/TLS to bypass ISP interference | Restart router to reset DNS cache and forwarder state",2024-01-01 19:00:00,3.0
ping works but browser hangs on dns step,1,1,1,0,0,1,1,10974,2,19,Ethernet,Linux,DNS Timeout,Low,"Test DNS timeout: nslookup -timeout=5 google.com | Switch to a faster DNS server (1.1.1.1 is fastest globally) | Flush DNS cache — Windows: ipconfig /flushdns | Check if UDP port 53 is blocked by local firewall | Ping 1.1.1.1 — if that works but DNS times out, ISP is throttling DNS | Contact ISP — their DNS resolver may be degraded | Enable DNS over HTTPS/TLS to bypass ISP interference | Restart router to reset DNS cache and forwarder state",2024-01-01 20:00:00,3.0
device stuck with zero configuration ip,0,0,0,0,0,1,0,2180,87,0,Ethernet,macOS,DHCP Failure,High,Verify DHCP is enabled in router admin panel | Release and renew: ipconfig /release && ipconfig /renew | Power cycle router — 30s off clears DHCP server state | Check DHCP pool is not exhausted (add more addresses) | Temporarily assign a static IP to confirm it is a DHCP issue | Check if device is in a VLAN that can reach the DHCP server | Increase DHCP lease time in router settings | Reset router DHCP scope to defaults,2024-01-01 21:00:00,3.0
cannot obtain dhcp lease on this network,0,0,0,0,0,1,0,1018,96,1,Ethernet,Linux,DHCP Failure,High,Verify DHCP is enabled in router admin panel | Release and renew: ipconfig /release && ipconfig /renew | Power cycle router — 30s off clears DHCP server state | Check DHCP pool is not exhausted (add more addresses) | Temporarily assign a static IP to confirm it is a DHCP issue | Check if device is in a VLAN that can reach the DHCP server | Increase DHCP lease time in router settings | Reset router DHCP scope to defaults,2024-01-01 22:00:00,3.0
dns server not responding within timeout,1,1,1,0,0,1,1,26587,8,13,Ethernet,Linux,DNS Timeout,Low,"Test DNS timeout: nslookup -timeout=5 google.com | Switch to a faster DNS server (1.1.1.1 is fastest globally) | Flush DNS cache — Windows: ipconfig /flushdns | Check if UDP port 53 is blocked by local firewall | Ping 1.1.1.1 — if that works but DNS times out, ISP is throttling DNS | Contact ISP — their DNS resolver may be degraded | Enable DNS over HTTPS/TLS to bypass ISP interference | Restart router to reset DNS cache and forwarder state",2024-01-01 23:00:00,3.0
internet was working then suddenly dropped,0,1,0,0,0,1,1,1230,66,2,Ethernet,Linux,Router Issue,Medium,Check if router is powered on — verify all indicator lights | Power cycle: unplug router for 30s then reconnect | Check WAN/Internet cable between router and modem | Verify ISP service is active — call ISP or check status page | Check router WAN IP in admin panel (usually 192.168.1.1) | Update router firmware from manufacturer website | Review router logs for PPPoE or DHCP errors from ISP | Factory reset router if all else fails,2024-01-02 00:00:00,3.0
dns resolution failed error message,1,1,0,0,0,1,1,234,0,18,WiFi,Windows,DNS Issue,Low,"Change DNS to Google (8.8.8.8, 8.8.4.4) or Cloudflare (1.1.1.1) | Flush DNS cache — Windows: ipconfig /flushdns | Flush DNS cache — macOS: sudo dscacheutil -flushcache | Test with nslookup google.com to confirm DNS failure | Restart network adapter to clear DNS state | Check router DNS settings in admin panel | Try alternate DNS: Quad9 (9.9.9.9) or OpenDNS (208.67.222.222) | Disable DNS-over-HTTPS temporarily to test",2024-01-02 01:00:00,3.0
link local address only no real ip,0,1,0,0,0,1,0,874,99,0,WiFi,Windows,DHCP Failure,High,Verify DHCP is enabled in router admin panel | Release and renew: ipconfig /release && ipconfig /renew | Power cycle router — 30s off clears DHCP server state | Check DHCP pool is not exhausted (add more addresses) | Temporarily assign a static IP to confirm it is a DHCP issue | Check if device is in a VLAN that can reach the DHCP server | Increase DHCP lease time in router settings | Reset router DHCP scope to defaults,2024-01-02 02:00:00,3.0
another device already has my ip address,0,1,0,0,1,0,1,2310,61,1,WiFi,Linux,IP Conflict,High,"Identify conflicting device: arp -a | look for duplicate MACs | Release IP: ipconfig /release (Windows) or sudo dhclient -r | Renew IP: ipconfig /renew or sudo dhclient | If using static IP, move it outside DHCP pool range | Set DHCP reservations in router to prevent future conflicts | Check DHCP pool size — expand if needed | Restart router to clear stale DHCP lease table | Reserve MAC-to-IP bindings for all static devices in router",2024-01-02 03:00:00,3.0
UDP port 53 queries dropping frequently,1,1,1,0,0,1,1,23422,8,8,Ethernet,Linux,DNS Timeout,Low,"Test DNS timeout: nslookup -timeout=5 google.com | Switch to a faster DNS server (1.1.1.1 is fastest globally) | Flush DNS cache — Windows: ipconfig /flushdns | Check if UDP port 53 is blocked by local firewall | Ping 1.1.1.1 — if that works but DNS times out, ISP is throttling DNS | Contact ISP — their DNS resolver may be degraded | Enable DNS over HTTPS/TLS to bypass ISP interference | Restart router to reset DNS cache and forwarder state",2024-01-02 04:00:00,3.0
ip conflict error shown by operating system,0,1,0,0,1,0,1,807,36,2,Ethernet,macOS,IP Conflict,High,"Identify conflicting device: arp -a | look for duplicate MACs | Release IP: ipconfig /release (Windows) or sudo dhclient -r | Renew IP: ipconfig /renew or sudo dhclient | If using static IP, move it outside DHCP pool range | Set DHCP reservations in router to prevent future conflicts | Check DHCP pool size — expand if needed | Restart router to clear stale DHCP lease table | Reserve MAC-to-IP bindings for all static devices in router",2024-01-02 05:00:00,3.0
name resolution delay causing page load failure,1,1,1,0,0,1,1,12200,5,13,WiFi,Linux,DNS Timeout,Low,"Test DNS timeout: nslookup -timeout=5 google.com | Switch to a faster DNS server (1.1.1.1 is fastest globally) | Flush DNS cache — Windows: ipconfig /flushdns | Check if UDP port 53 is blocked by local firewall | Ping 1.1.1.1 — if that works but DNS times out, ISP is throttling DNS | Contact ISP — their DNS resolver may be degraded | Enable DNS over HTTPS/TLS to bypass ISP interference | Restart router to reset DNS cache and forwarder state",2024-01-02 06:00:00,3.0
gateway device appears to be offline,0,1,0,0,0,1,1,1533,91,1,Ethernet,Windows,Gateway Unreachable,Medium,Verify gateway IP: route print (Windows) or ip route show (Linux) | Ping gateway: ping <gateway_ip> — confirm it is unreachable | Re-enter correct default gateway in network settings | Check if gateway device is powered on and its port is active | Restart your network adapter | Check routing table for stale or conflicting routes | Reset TCP/IP stack: netsh int ip reset (Windows) | Verify no firewall rule is blocking ICMP to gateway,2024-01-02 07:00:00,3.0
dhcp discovery packets timing out,1,0,0,0,0,1,0,1917,94,1,WiFi,macOS,DHCP Failure,High,Verify DHCP is enabled in router admin panel | Release and renew: ipconfig /release && ipconfig /renew | Power cycle router — 30s off clears DHCP server state | Check DHCP pool is not exhausted (add more addresses) | Temporarily assign a static IP to confirm it is a DHCP issue | Check if device is in a VLAN that can reach the DHCP server | Increase DHCP lease time in router settings | Reset router DHCP scope to defaults,2024-01-02 08:00:00,3.0
dhcp request timeout after multiple attempts,0,0,0,0,0,0,0,2208,80,1,WiFi,macOS,DHCP Failure,High,Verify DHCP is enabled in router admin panel | Release and renew: ipconfig /release && ipconfig /renew | Power cycle router — 30s off clears DHCP server state | Check DHCP pool is not exhausted (add more addresses) | Temporarily assign a static IP to confirm it is a DHCP issue | Check if device is in a VLAN that can reach the DHCP server | Increase DHCP lease time in router settings | Reset router DHCP scope to defaults,2024-01-02 09:00:00,3.0
dns lookup hangs indefinitely,1,1,1,0,0,1,1,18500,5,12,Ethernet,macOS,DNS Timeout,Low,"Test DNS timeout: nslookup -timeout=5 google.com | Switch to a faster DNS server (1.1.1.1 is fastest globally) | Flush DNS cache — Windows: ipconfig /flushdns | Check if UDP port 53 is blocked by local firewall | Ping 1.1.1.1 — if that works but DNS times out, ISP is throttling DNS | Contact ISP — their DNS resolver may be degraded | Enable DNS over HTTPS/TLS to bypass ISP interference | Restart router to reset DNS cache and forwarder state",2024-01-02 10:00:00,3.0
arpa table shows duplicate entry,0,1,0,0,1,0,1,2779,69,2,Ethernet,Linux,IP Conflict,High,"Identify conflicting device: arp -a | look for duplicate MACs | Release IP: ipconfig /release (Windows) or sudo dhclient -r | Renew IP: ipconfig /renew or sudo dhclient | If using static IP, move it outside DHCP pool range | Set DHCP reservations in router to prevent future conflicts | Check DHCP pool size — expand if needed | Restart router to clear stale DHCP lease table | Reserve MAC-to-IP bindings for all static devices in router",2024-01-02 11:00:00,3.0
alternate DNS like 8.8.8.8 works but default does not,1,1,1,0,0,1,1,19267,7,11,WiFi,Linux,DNS Timeout,Low,"Test DNS timeout: nslookup -timeout=5 google.com | Switch to a faster DNS server (1.1.1.1 is fastest globally) | Flush DNS cache — Windows: ipconfig /flushdns | Check if UDP port 53 is blocked by local firewall | Ping 1.1.1.1 — if that works but DNS times out, ISP is throttling DNS | Contact ISP — their DNS resolver may be degraded | Enable DNS over HTTPS/TLS to bypass ISP interference | Restart router to reset DNS cache and forwarder state",2024-01-02 12:00:00,3.0
wifi connected but no internet access,0,1,0,0,0,1,1,4421,86,2,WiFi,Linux,Router Issue,Medium,Check if router is powered on — verify all indicator lights | Power cycle: unplug router for 30s then reconnect | Check WAN/Internet cable between router and modem | Verify ISP service is active — call ISP or check status page | Check router WAN IP in admin panel (usually 192.168.1.1) | Update router firmware from manufacturer website | Review router logs for PPPoE or DHCP errors from ISP | Factory reset router if all else fails,2024-01-02 13:00:00,3.0
very slow dns resolution taking many seconds,1,1,1,0,0,1,1,17282,3,10,WiFi,macOS,DNS Timeout,Low,"Test DNS timeout: nslookup -timeout=5 google.com | Switch to a faster DNS server (1.1.1.1 is fastest globally) | Flush DNS cache — Windows: ipconfig /flushdns | Check if UDP port 53 is blocked by local firewall | Ping 1.1.1.1 — if that works but DNS times out, ISP is throttling DNS | Contact ISP — their DNS resolver may be degraded | Enable DNS over HTTPS/TLS to bypass ISP interference | Restart router to reset DNS cache and forwarder state",2024-01-02 14:00:00,3.0
cannot get valid ip from access point,0,0,0,0,0,1,0,1251,98,0,WiFi,Windows,DHCP Failure,High,Verify DHCP is enabled in router admin panel | Release and renew: ipconfig /release && ipconfig /renew | Power cycle router — 30s off clears DHCP server state | Check DHCP pool is not exhausted (add more addresses) | Temporarily assign a static IP to confirm it is a DHCP issue | Check if device is in a VLAN that can reach the DHCP server | Increase DHCP lease time in router settings | Reset router DHCP scope to defaults,2024-01-02 15:00:00,3.0
ip address outside valid subnet range,0,1,0,0,0,1,0,938,95,1,Ethernet,Linux,Subnet Mismatch,Medium,"Check device IP and mask: ipconfig /all or ip addr | Identify gateway IP and its subnet | Verify device subnet contains the gateway IP (use subnet calculator) | Example correct config: device 192.168.1.50/24, gateway 192.168.1.1 | Set correct subnet mask: 255.255.255.0 for /24 networks | If using static IP, reconfigure with matching subnet | Check DHCP server subnet option — it may be misconfigured | Restart network after fixing subnet to apply changes",2024-01-02 16:00:00,3.0
modem not responding to any requests,0,1,0,0,0,1,1,2498,91,2,Ethernet,macOS,Router Issue,Medium,Check if router is powered on — verify all indicator lights | Power cycle: unplug router for 30s then reconnect | Check WAN/Internet cable between router and modem | Verify ISP service is active — call ISP or check status page | Check router WAN IP in admin panel (usually 192.168.1.1) | Update router firmware from manufacturer website | Review router logs for PPPoE or DHCP errors from ISP | Factory reset router if all else fails,2024-01-02 17:00:00,3.0
cannot ARP for gateway across subnet boundary,0,1,0,0,0,1,0,1573,99,1,Ethernet,macOS,Subnet Mismatch,Medium,"Check device IP and mask: ipconfig /all or ip addr | Identify gateway IP and its subnet | Verify device subnet contains the gateway IP (use subnet calculator) | Example correct config: device 192.168.1.50/24, gateway 192.168.1.1 | Set correct subnet mask: 255.255.255.0 for /24 networks | If using static IP, reconfigure with matching subnet | Check DHCP server subnet option — it may be misconfigured | Restart network after fixing subnet to apply changes",2024-01-02 18:00:00,3.0
intermittent dns timeouts throughout the day,1,1,1,0,0,1,1,15230,1,15,Ethernet,Windows,DNS Timeout,Low,"Test DNS timeout: nslookup -timeout=5 google.com | Switch to a faster DNS server (1.1.1.1 is fastest globally) | Flush DNS cache — Windows: ipconfig /flushdns | Check if UDP port 53 is blocked by local firewall | Ping 1.1.1.1 — if that works but DNS times out, ISP is throttling DNS | Contact ISP — their DNS resolver may be degraded | Enable DNS over HTTPS/TLS to bypass ISP interference | Restart router to reset DNS cache and forwarder state",2024-01-02 19:00:00,3.0
no network hardware detected on this computer,0,0,0,0,0,0,0,24,100,0,WiFi,Windows,Network Adapter Issue,High,Open Device Manager — check for yellow ! on network adapter | Right-click adapter → Enable if disabled | Check physical cable connection — try a different cable | Update driver: Device Manager → Update driver | Uninstall adapter in Device Manager then reboot to reinstall | Try a different USB or PCIe NIC to isolate hardware failure | Run Windows Network Diagnostics or Linux ethtool -t eth0 | Replace NIC if driver reinstall does not resolve it,2024-01-02 20:00:00,3.0
dns response takes over 10 seconds,1,1,1,0,0,1,1,25715,6,11,WiFi,macOS,DNS Timeout,Low,"Test DNS timeout: nslookup -timeout=5 google.com | Switch to a faster DNS server (1.1.1.1 is fastest globally) | Flush DNS cache — Windows: ipconfig /flushdns | Check if UDP port 53 is blocked by local firewall | Ping 1.1.1.1 — if that works but DNS times out, ISP is throttling DNS | Contact ISP — their DNS resolver may be degraded | Enable DNS over HTTPS/TLS to bypass ISP interference | Restart router to reset DNS cache and forwarder state",2024-01-02 21:00:00,3.0
dns cache keeps expiring with slow refresh,1,1,1,0,0,1,1,10321,3,19,Ethernet,Linux,DNS Timeout,Low,"Test DNS timeout: nslookup -timeout=5 google.com | Switch to a faster DNS server (1.1.1.1 is fastest globally) | Flush DNS cache — Windows: ipconfig /flushdns | Check if UDP port 53 is blocked by local firewall | Ping 1.1.1.1 — if that works but DNS times out, ISP is throttling DNS | Contact ISP — their DNS resolver may be degraded | Enable DNS over HTTPS/TLS to bypass ISP interference | Restart router to reset DNS cache and forwarder state",2024-01-02 22:00:00,3.0
lost internet after power outage,0,1,0,0,0,1,1,1842,72,2,Ethernet,Linux,Router Issue,Medium,Check if router is powered on — verify all indicator lights | Power cycle: unplug router for 30s then reconnect | Check WAN/Internet cable between router and modem | Verify ISP service is active — call ISP or check status page | Check router WAN IP in admin panel (usually 192.168.1.1) | Update router firmware from manufacturer website | Review router logs for PPPoE or DHCP errors from ISP | Factory reset router if all else fails,2024-01-02 23:00:00,3.0
lost internet after power outage,0,1,0,0,0,1,1,3030,92,2,Ethernet,Windows,Router Issue,Medium,Check if router is powered on — verify all indicator lights | Power cycle: unplug router for 30s then reconnect | Check WAN/Internet cable between router and modem | Verify ISP service is active — call ISP or check status page | Check router WAN IP in admin panel (usually 192.168.1.1) | Update router firmware from manufacturer website | Review router logs for PPPoE or DHCP errors from ISP | Factory reset router if all else fails,2024-01-03 00:00:00,3.0
changing DNS server fixes the problem,1,1,1,0,0,1,1,384,3,13,WiFi,Linux,DNS Issue,Low,"Change DNS to Google (8.8.8.8, 8.8.4.4) or Cloudflare (1.1.1.1) | Flush DNS cache — Windows: ipconfig /flushdns | Flush DNS cache — macOS: sudo dscacheutil -flushcache | Test with nslookup google.com to confirm DNS failure | Restart network adapter to clear DNS state | Check router DNS settings in admin panel | Try alternate DNS: Quad9 (9.9.9.9) or OpenDNS (208.67.222.222) | Disable DNS-over-HTTPS temporarily to test",2024-01-03 01:00:00,3.0
router dhcp disabled causing no ip assignment,0,0,0,0,0,1,0,2330,94,1,WiFi,Windows,DHCP Failure,High,Verify DHCP is enabled in router admin panel | Release and renew: ipconfig /release && ipconfig /renew | Power cycle router — 30s off clears DHCP server state | Check DHCP pool is not exhausted (add more addresses) | Temporarily assign a static IP to confirm it is a DHCP issue | Check if device is in a VLAN that can reach the DHCP server | Increase DHCP lease time in router settings | Reset router DHCP scope to defaults,2024-01-03 02:00:00,3.0
incorrect subnet configuration for this network,0,1,0,0,0,1,0,2248,96,1,Ethernet,macOS,Subnet Mismatch,Medium,"Check device IP and mask: ipconfig /all or ip addr | Identify gateway IP and its subnet | Verify device subnet contains the gateway IP (use subnet calculator) | Example correct config: device 192.168.1.50/24, gateway 192.168.1.1 | Set correct subnet mask: 255.255.255.0 for /24 networks | If using static IP, reconfigure with matching subnet | Check DHCP server subnet option — it may be misconfigured | Restart network after fixing subnet to apply changes",2024-01-03 03:00:00,3.0
nslookup request timed out message,1,1,1,0,0,1,1,25690,2,16,Ethernet,Windows,DNS Timeout,Low,"Test DNS timeout: nslookup -timeout=5 google.com | Switch to a faster DNS server (1.1.1.1 is fastest globally) | Flush DNS cache — Windows: ipconfig /flushdns | Check if UDP port 53 is blocked by local firewall | Ping 1.1.1.1 — if that works but DNS times out, ISP is throttling DNS | Contact ISP — their DNS resolver may be degraded | Enable DNS over HTTPS/TLS to bypass ISP interference | Restart router to reset DNS cache and forwarder state",2024-01-03 04:00:00,3.0
host command returns NXDOMAIN,1,1,1,0,0,1,0,175,0,14,WiFi,macOS,DNS Issue,Low,"Change DNS to Google (8.8.8.8, 8.8.4.4) or Cloudflare (1.1.1.1) | Flush DNS cache — Windows: ipconfig /flushdns | Flush DNS cache — macOS: sudo dscacheutil -flushcache | Test with nslookup google.com to confirm DNS failure | Restart network adapter to clear DNS state | Check router DNS settings in admin panel | Try alternate DNS: Quad9 (9.9.9.9) or OpenDNS (208.67.222.222) | Disable DNS-over-HTTPS temporarily to test",2024-01-03 05:00:00,3.0
subnet mismatch causing connectivity failure,0,1,0,0,0,1,0,2261,99,1,Ethernet,Linux,Subnet Mismatch,Medium,"Check device IP and mask: ipconfig /all or ip addr | Identify gateway IP and its subnet | Verify device subnet contains the gateway IP (use subnet calculator) | Example correct config: device 192.168.1.50/24, gateway 192.168.1.1 | Set correct subnet mask: 255.255.255.0 for /24 networks | If using static IP, reconfigure with matching subnet | Check DHCP server subnet option — it may be misconfigured | Restart network after fixing subnet to apply changes",2024-01-03 06:00:00,3.0
